Price,Validity,Description,Tags,Circle,Time,Price2,Days2,Tag1,Tag2,clean_price_per_day
Rs. 401,28 days,Enjoy Disney+ Hotstar VIP 1 year subscription -- Also get 30GB data for 28 days.,Airtel 4G Data,Andhra Pradesh,2021-Q1,401.0,28,Airtel,4G Data,14.321428571
Rs. 251,N.A.,"Enjoy 50GB extra data, valid till your current pack validity -- Pack applicable for users on Unlimited Packs and Smart Recharges.",Airtel 4G Data,Andhra Pradesh,2021-Q1,251.0,N.A.,Airtel,4G Data,
Rs. 1499,365 days,Now get Truly Unlimited Local/National Calls to all Networks +24GB Data+3600SMS -- Validity: 365 Days,Idea 4G Data,Andhra Pradesh,2021-Q1,1499.0,365,Idea,4G Data,4.106849315
Rs. 48,28 days,2G/3G/4G Data: 3 GB -- Service Validity 28 days.,Vodafone 4G Data,Andhra Pradesh,2021-Q1,48.0,28,Vodafone,4G Data,1.714285714
Rs. 79,28 days,Get Rs64 Talktime+Local/National Calls@1p/sec+200MB for 28 Days,Vodafone Top up,Andhra Pradesh,2021-Q1,79.0,28,Vodafone,Top up,2.821428571
Rs. 39,14 days,Local & STD Calls @ 2.5 p/sec -- Talktime: Rs.30.0,Vodafone Top up,Andhra Pradesh,2021-Q1,39.0,14,Vodafone,Top up,2.785714286
Rs. 47,28 days,Callertunes with unlimited song change at rs -- 47 for 28 days,Vodafone Other,Andhra Pradesh,2021-Q1,47.0,28,Vodafone,Other,1.678571429
Rs. 12,10 days,SMS: 120 SMS,Vodafone SMS,Andhra Pradesh,2021-Q1,12.0,10,Vodafone,SMS,1.2
Rs. 2399,365 days,Now get Truly Unlimited Local/National Calls to all Networks +1.5GB/Day Data+100SMS/Day -- Validity: 365 Days,Vodafone Local,Andhra Pradesh,2021-Q1,2399.0,365,Vodafone,Local,6.57260274
Rs. 1499,365 days,Now get Truly Unlimited Local/National Calls to all Networks +24GB Data+3600SMS -- Validity: 365 Days,Vodafone Local,Andhra Pradesh,2021-Q1,1499.0,365,Vodafone,Local,4.106849315
Rs. 558,56 days,"2G/3G/4G Data: 3 GB / Day -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day",Vodafone Local,Andhra Pradesh,2021-Q1,558.0,56,Vodafone,Local,9.964285714
Rs. 379,84 days,Now get Truly Unlimited Local/National Calls to all Networks+6GB Data+1000SMS -- Validity: 84 Days,Vodafone Local,Andhra Pradesh,2021-Q1,379.0,84,Vodafone,Local,4.511904762
Rs. 269,56 days,"2G/3G/4G Data: 4 GB -- Local, STD & Roaming Calls: Unlimited -- SMS: 600 SMS",Vodafone Local,Andhra Pradesh,2021-Q1,269.0,56,Vodafone,Local,4.803571429
Rs. 219,28 days,Now get Truly Unlimited Local/National Calls to all Networks+1GB/Day+100SMS/ Day -- Validity:28Days,Vodafone Local,Andhra Pradesh,2021-Q1,219.0,28,Vodafone,Local,7.821428571
Rs. 298,28 days,"Enjoy TRULY unlimited Local, STD & Roaming calls on any network, 2 GB data per day, 100 National SMS/day for 28 days",Airtel Local,Andhra Pradesh,2021-Q1,298.0,28,Airtel,Local,10.642857143
Rs. 79,28 days,3G/4G Data: 200 MB -- Talktime: Rs.64.0 -- Pack validity 28 days,Airtel Top up,Andhra Pradesh,2021-Q1,79.0,28,Airtel,Top up,2.821428571
Rs. 251,28 days,2G/3G/4G Data: 50 GB,Idea 4G Data,Andhra Pradesh,2021-Q1,251.0,28,Idea,4G Data,8.964285714
Rs. 48,28 days,2G/3G/4G Data: 3 GB -- Service Validity 28 days,Idea 4G Data,Andhra Pradesh,2021-Q1,48.0,28,Idea,4G Data,1.714285714
Rs. 2399,365 days,Now get Truly Unlimited Local/National Calls to all Networks +1.5GB/Day Data+100SMS/Day -- Validity: 365 Days,Idea Local,Andhra Pradesh,2021-Q1,2399.0,365,Idea,Local,6.57260274
Rs. 699,84 days,"Now get DOUBLE Data, i.e -- 2+2=4GB/Day + Truly Unlimited Local/National Calls to all Networks + 100 Local and National SMS/Day -- Pack Valid for 84 Days",Idea Local,Andhra Pradesh,2021-Q1,699.0,84,Idea,Local,8.321428571
Rs. 500,N.A.,Talktime: Rs.423.73 -- Service Validity of 28 days,Idea Full Talktime,Assam,2021-Q1,500.0,N.A.,Idea,Full Talktime,
Rs. 599,84 days,Now get Truly Unlimited Local/National Calls to all Networks+1.5GB/Day+100SMS/Day -- Validity:84 Days,Idea Plan,Assam,2021-Q1,599.0,84,Idea,Plan,7.130952381
Rs. 251,28 days,2G/3G/4G Data: 50 GB -- download to enjoy free movie.,Vodafone 4G Data,Assam,2021-Q1,251.0,28,Vodafone,4G Data,8.964285714
Rs. 2399,365 days,Now get Truly Unlimited Local/National Calls to all Networks +1.5GB/Day Data+100SMS/Day -- Validity: 365 Days,Vodafone Local,Assam,2021-Q1,2399.0,365,Vodafone,Local,6.57260274
Rs. 699,84 days,"Now get DOUBLE Data, i.e -- 2+2=4GB/Day + Truly Unlimited Local/National Calls to all Networks + 100 Local and National SMS/Day -- Pack Valid for 84 Days",Vodafone Local,Assam,2021-Q1,699.0,84,Vodafone,Local,8.321428571
Rs. 558,56 days,"2G/3G/4G Data: 3 GB / Day -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day",Vodafone Local,Assam,2021-Q1,558.0,56,Vodafone,Local,9.964285714
Rs. 555,70 days,"2G/3G/4G Data: 1.5 GB / Day -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day",Vodafone Local,Assam,2021-Q1,555.0,70,Vodafone,Local,7.928571429
Rs. 449,56 days,"Now get DOUBLE Data, i.e -- 2+2=4GB/Day + Truly Unlimited Local/National Calls to all Networks + 100 Local and National SMS/Day -- Pack Valid for 56 Days",Vodafone Local,Assam,2021-Q1,449.0,56,Vodafone,Local,8.017857143
Rs. 398,28 days,"2G/3G/4G Data: 3 GB / Day -- Local, STD & Roaming Calls: Unlimited -- SMS: 100 SMS / Day",Vodafone Local,Assam,2021-Q1,398.0,28,Vodafone,Local,14.214285714
Rs. 379,84 days,Now get Truly Unlimited Local/National Calls to all Networks+6GB Data+1000SMS -- Validity: 84 Days,Vodafone Local,Assam,2021-Q1,379.0,84,Vodafone,Local,4.511904762
Rs. 299,28 days,"Now get DOUBLE Data, i.e -- 2+2=4GB/Day + Truly Unlimited Local/National Calls to all Networks + 100 Local and National SMS/Day -- Pack Valid for 28 Days",Vodafone Local,Assam,2021-Q1,299.0,28,Vodafone,Local,10.678571429
Rs. 249,28 days,Now get Truly Unlimited Local/National Calls to all Networks +1.5GB/Day +100SMS/Day -- Validity:28 Days,Vodafone Local,Assam,2021-Q1,249.0,28,Vodafone,Local,8.892857143
Rs. 251,28 days,2G/3G/4G Data: 50 GB -- Service Validity 28 days,Idea 4G Data,Assam,2021-Q1,251.0,28,Idea,4G Data,8.964285714
Rs. 2399,365 days,Now get Truly Unlimited Local/National Calls to all Networks +1.5GB/Day Data+100SMS/Day -- Validity: 365 Days,Idea Local,Assam,2021-Q1,2399.0,365,Idea,Local,6.57260274
